Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1990","1990","kg/ha","341.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1991","1991","kg/ha","369.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1992","1992","kg/ha","400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1993","1993","kg/ha","416.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1994","1994","kg/ha","430.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1995","1995","kg/ha","257.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1996","1996","kg/ha","437.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1997","1997","kg/ha","430.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1998","1998","kg/ha","498","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","1999","1999","kg/ha","302.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2000","2000","kg/ha","349.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2001","2001","kg/ha","352","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2002","2002","kg/ha","351.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2003","2003","kg/ha","384.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2004","2004","kg/ha","387.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2005","2005","kg/ha","367.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2006","2006","kg/ha","439.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2007","2007","kg/ha","265.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2008","2008","kg/ha","272","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2009","2009","kg/ha","268.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2010","2010","kg/ha","313.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2011","2011","kg/ha","315","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2012","2012","kg/ha","302.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2013","2013","kg/ha","296","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2014","2014","kg/ha","288.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2015","2015","kg/ha","285.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2016","2016","kg/ha","284.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2017","2017","kg/ha","280.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2018","2018","kg/ha","284.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2019","2019","kg/ha","282.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2020","2020","kg/ha","300.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2021","2021","kg/ha","278.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2022","2022","kg/ha","272.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2023","2023","kg/ha","271.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1990","1990","kg/ha","1649.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1991","1991","kg/ha","1207.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1992","1992","kg/ha","1240","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1993","1993","kg/ha","1180.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1994","1994","kg/ha","924.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1995","1995","kg/ha","893.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1996","1996","kg/ha","1005.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1997","1997","kg/ha","1124.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1998","1998","kg/ha","972.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","1999","1999","kg/ha","1500.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2000","2000","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2001","2001","kg/ha","1550","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2002","2002","kg/ha","1520.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2003","2003","kg/ha","1530","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2004","2004","kg/ha","1549.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2005","2005","kg/ha","1590.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2006","2006","kg/ha","1719.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2007","2007","kg/ha","1292.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2008","2008","kg/ha","1229.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2009","2009","kg/ha","1126.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2010","2010","kg/ha","1362.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2011","2011","kg/ha","1258.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2012","2012","kg/ha","1245.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2013","2013","kg/ha","905.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2014","2014","kg/ha","1214.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2015","2015","kg/ha","1237.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2016","2016","kg/ha","1260.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2017","2017","kg/ha","1257.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2018","2018","kg/ha","1223.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2019","2019","kg/ha","1209.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2020","2020","kg/ha","1168.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0142","Groundnuts, excluding shelled","2021","2021","kg/ha","1141.9","A","Official figure",""
