Zone,Crop,Year,Yield_kg_per_ha,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Month,Growing_Season
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,353.86,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,355.1,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,355.75,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,356.38,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,357.38,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,356.39,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,354.89,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,353.06,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,351.38,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,351.69,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,353.14,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
North-West,Millet,1990,1417.4578065089706,26.029166666666665,2714.0,52.43611111111111,354.41,6.566666666666666,79.7,1.2666666666666666,0.13,1,April-September
