Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North Central,Cassava,2000,1,26.33638888888889,343.24375,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,343.24375,0,164.16349074074074,31132.208124999997,0,0,0,0,0.7424951737309541,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,2,27.434465100242207,259.48646187317667,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,602.7302118731766,0,171.00816579150975,23535.422091897126,0,0,0,0,0.7424951737099506,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,3,27.83638888888889,228.82916666666665,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,831.5593785398432,0,173.51349074074076,20754.805416666666,0,0,0,0,0.7424951736984188,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,4,27.434465100242207,259.4864618731767,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,17.434465100242207,1091.04584041302,0,171.00816579150975,23535.42209189713,1,0,0,0,0.7424951737099506,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,5,26.33638888888889,343.24375,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,16.33638888888889,1434.28959041302,30,164.16349074074074,31132.208124999997,1,1,0,0,0.7424951737309541,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,6,24.83638888888889,457.6583333333333,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,14.83638888888889,1891.9479237463534,60,154.81349074074075,41509.61083333333,1,1,0,0,0.7424951737472218,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,7,23.33638888888889,572.0729166666666,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,13.33638888888889,2464.02084041302,90,145.46349074074075,51887.01354166667,1,1,0,0,0.7424951737569825,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,8,22.238312677535575,655.8302047934899,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,12.238312677535575,3119.8510452065098,120,138.61881568997174,59483.79957476953,1,0,0,0,0.7424951737619687,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,9,21.83638888888889,686.4875,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,11.83638888888889,3806.3385452065095,150,136.11349074074076,62264.416249999995,1,0,0,0,0.7424951737634894,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,10,22.238312677535575,655.8302047934899,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,4462.16875,180,138.61881568997174,59483.79957476953,0,0,0,0,0.7424951737619686,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,11,23.33638888888889,572.0729166666666,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,5034.241666666666,210,145.46349074074075,51887.01354166667,0,0,0,0,0.7424951737569825,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2000,12,24.83638888888889,457.6583333333333,63.849999999999994,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,5491.9,240,154.81349074074075,41509.61083333333,0,0,0,0,0.7424951737472218,0,1,0.0,0.0,0.0,12.725015312794877,24.83638888888889,5491.9,0.0,0.0,0.0,0.0
North Central,Cassava,2001,1,25.680833333333332,221.925,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,221.925,0,160.07719444444444,20128.5975,0,0,0,0,-0.3207187700533093,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,2,26.77890954468665,167.7715415100923,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,389.6965415100923,0,166.92186949521343,15216.878814965372,0,0,0,0,-0.3207187700442367,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,3,27.180833333333332,147.95000000000002,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,537.6465415100923,0,169.42719444444444,13419.065000000002,0,0,0,0,-0.320718770039256,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,4,26.77890954468665,167.77154151009233,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,16.77890954468665,705.4180830201847,0,166.92186949521343,15216.878814965376,1,0,0,0,-0.32071877004423704,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,5,25.680833333333332,221.925,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,15.680833333333332,927.3430830201846,30,160.07719444444444,20128.5975,1,1,0,0,-0.3207187700533093,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,6,24.180833333333332,295.90000000000003,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,14.180833333333332,1223.2430830201847,60,150.72719444444445,26838.130000000005,1,1,0,0,-0.32071877006033633,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,7,22.680833333333332,369.87500000000006,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,12.680833333333332,1593.1180830201847,90,141.37719444444443,33547.662500000006,1,1,0,0,-0.32071877006455213,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,8,21.582757121980016,424.02845848990773,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,11.582757121980016,2017.1465415100924,120,134.53251939367544,38459.38118503463,1,0,0,0,-0.32071877006670607,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,9,21.180833333333332,443.85,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1627260083449236,11.180833333333332,2460.9965415100924,150,132.02719444444443,40257.195,1,0,0,0,-0.3207187700673629,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,10,21.582757121980016,424.0284584899078,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,2885.0250000000005,180,134.53251939367544,38459.38118503464,0,0,0,0,-0.32071877006670574,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,11,22.680833333333332,369.87500000000006,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,3254.9000000000005,210,141.37719444444443,33547.662500000006,0,0,0,0,-0.32071877006455213,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2001,12,24.180833333333332,295.90000000000003,67.09444444444445,371.31916666666666,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,3550.8,240,150.72719444444445,26838.130000000005,0,0,0,0,-0.32071877006033633,0,0,12.725015312794877,0.0,0.0,12.850685681432209,24.508611111111108,4521.35,0.25134073727466344,-0.6555555555555621,-1941.0999999999995,0.17772473971534097
North Central,Cassava,2002,1,26.1625,239.825,66.98888888888888,373.45250000000004,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,239.825,0,163.07958333333335,21752.1275,0,0,0,0,-0.16384664934865073,0,0,12.97635605006954,12.725015312794877,0.0,13.055474077562096,24.559907407407408,4293.3,0.48869481975232887,0.48166666666667624,286.39999999999964,0.3763082554526239
North Central,Cassava,2002,2,27.260576211353317,181.30363835826464,66.98888888888888,373.45250000000004,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,421.12863835826465,0,169.92425838410236,16444.239999094603,0,0,0,0,-0.1638466493440159,0,0,12.97635605006954,12.725015312794877,0.0,13.055474077562096,24.559907407407408,4293.3,0.48869481975232887,0.48166666666667624,286.39999999999964,0.3763082554526239
North Central,Cassava,2002,3,27.6625,159.88333333333333,66.98888888888888,373.45250000000004,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,581.011971691598,0,172.42958333333334,14501.418333333333,0,0,0,0,-0.16384664934147147,0,0,12.97635605006954,12.725015312794877,0.0,13.055474077562096,24.559907407407408,4293.3,0.48869481975232887,0.48166666666667624,286.39999999999964,0.3763082554526239
North Central,Cassava,2002,4,27.260576211353317,181.30363835826466,66.98888888888888,373.45250000000004,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.2441751449703116,17.260576211353317,762.3156100498626,0,169.92425838410236,16444.239999094607,1,0,0,0,-0.16384664934401624,0,0,12.97635605006954,12.725015312794877,0.0,13.055474077562096,24.559907407407408,4293.3,0.48869481975232887,0.48166666666667624,286.39999999999964,0.3763082554526239
North Central,Cassava,2002,5,26.1625,239.825,66.98888888888888,373.45250000000004,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.2441751449703116,16.1625,1002.1406100498626,30,163.07958333333335,21752.1275,1,1,0,0,-0.16384664934865073,0,0,12.97635605006954,12.725015312794877,0.0,13.055474077562096,24.559907407407408,4293.3,0.48869481975232887,0.48166666666667624,286.39999999999964,0.3763082554526239
